compound_name,clinical_phase,mechanism_of_action,cf_max_score,cf_avg_score,cf_top_pose,docking_max_score,docking_avg_score,docking_top_pose,safety_Aurora kinase A,safety_Bile Salt Export Pump model 2,safety_Caspase 3,safety_Cathepsin L1,safety_hERG_pIC50,safety_KCNA5,safety_Muscarinic acetylcholine receptor M1,safety_Muscarinic acetylcholine receptor M3,hERG_pIC50,KCNA5,pk_Human microsomal clearance model 2,chem_a_acc,chem_a_don,chem_chi0,chem_chi1,chem_chi0_c,chem_chi1_c,chem_kier1,chem_lip_acc,chem_npr1,chem_peoe_pcplus,chem_peoe_vsaplus0,chem_peoe_vsaplus2,chem_peoe_vsaplus4,chem_peoe_vsaplus6,chem_peoe_vsaminus1,chem_peoe_vsaminus3,chem_peoe_vsaminus5,chem_pmi,chem_pmi2,chem_pmix,chem_pmiz,chem_slogp,chem_slogp_vsa1,chem_slogp_vsa3,chem_slogp_vsa5,chem_slogp_vsa7,chem_slogp_vsa9,chem_smr_vsa0,chem_smr_vsa2,chem_smr_vsa4,chem_smr_vsa6,chem_tpsa,cv_safety_score,high_potential
D-157495,Preclinical,decapping scavenger enzyme inhibitor,6.02,5.393000000000001,4.38,-5.2,-5.41,-5.6,4.91,3.8,4.83,4.43,6.19,6.0,6.02,5.99,6.19,6.0,0.9,2.0,0.0,20.38,14.01,13.68,7.93,22.2,6.0,0.16,3.9,40.94,22.1,19.81,24.3,89.36,0.0,0.14,10124.01,9159.8,8601.83,609.34,2.66,16.79,57.81,0.0,110.58,106.21,19.91,4.41,8.94,57.81,92.74,6.095000000000001,0
NVP-BEZ235,Phase 3,mTOR inhibitor  PI3K inhibitor,7.22,5.9,5.65,-6.5,-6.76,-7.3,5.67,4.84,5.32,3.84,5.45,7.13,6.32,5.19,5.45,7.13,1.32,4.0,0.0,25.03,17.37,20.46,12.02,26.23,6.0,0.38,2.2,85.0,0.0,0.0,17.44,73.53,17.74,11.37,9369.37,6077.5,5854.01,223.27,6.96,38.4,47.66,32.9,261.95,98.78,23.86,6.25,24.08,4.83,73.12,6.29,0
IT1t,Preclinical,CC chemokine receptor antagonist,7.14,6.054,5.31,-5.4,-5.67,-6.0,5.55,3.85,4.71,4.4,5.26,5.48,5.84,5.88,5.26,5.48,1.41,0.0,0.0,18.69,13.09,14.58,7.8,20.28,4.0,0.43,3.44,133.66,19.89,0.0,52.19,17.4,0.0,0.41,7435.88,5187.0,4471.81,676.94,1.53,4.51,35.67,2.76,16.01,131.09,33.57,18.01,0.0,37.06,43.21,5.37,0
PZ-2891,Preclinical,pantothenate kinase activator,7.09,5.7090000000000005,5.74,-5.3,-5.55,-5.9,4.92,4.48,5.36,5.53,5.69,5.84,5.19,5.45,5.69,5.84,1.33,4.0,0.0,18.52,12.56,13.95,7.66,20.73,6.0,0.14,1.82,108.22,31.49,12.95,0.0,86.51,17.74,13.57,8192.33,7373.02,7109.94,262.79,2.36,41.71,121.42,18.87,105.86,68.98,23.86,3.12,2.33,79.02,73.12,5.765000000000001,0
astaxanthin,Launched,antioxidant,0.0,0.0,0.0,0.0,0.0,0.0,4.71,4.75,5.33,4.16,5.69,6.1,5.35,5.65,5.69,6.1,1.48,4.0,2.0,33.24,20.46,29.24,18.15,40.18,4.0,0.04,2.94,145.02,9.81,20.65,0.0,255.39,0.0,27.13,58709.98,56907.32,56444.58,462.63,8.91,11.38,0.0,25.48,247.0,333.26,47.72,0.0,0.0,11.38,74.6,5.895,0
PF-06650833,Phase 1,kinase inhibitor,5.76,5.171,4.33,-5.1,-5.33,-5.7,5.32,3.69,5.19,5.46,4.64,6.43,5.79,5.06,4.64,6.43,1.26,4.0,2.0,18.84,12.46,12.02,6.4,20.73,7.0,0.23,2.61,69.54,0.0,0.0,0.0,18.75,0.0,27.13,6322.49,5265.46,4947.94,317.36,1.58,27.3,20.93,35.38,75.29,58.34,47.72,22.42,38.04,31.44,103.54,5.535,0
atorvastatin,Launched,HMGCR inhibitor,7.01,5.871,6.58,-5.4,-5.75,-6.2,6.44,4.77,5.53,5.05,5.22,6.11,5.55,7.0,5.22,6.11,1.11,3.0,3.0,29.52,19.65,22.23,14.3,33.88,7.0,0.56,2.87,116.19,9.02,20.65,0.0,135.53,0.0,13.57,9999.57,7378.27,5452.06,1924.84,5.25,26.63,0.0,0.0,259.32,102.81,90.41,9.12,33.08,6.72,114.62,5.665,0
PF-431396,Preclinical,focal adhesion kinase inhibitor,7.69,6.244999999999999,6.08,-6.1,-6.33,-6.7,7.52,4.1,4.13,3.73,4.55,5.82,5.84,5.64,4.55,5.82,1.26,5.0,3.0,25.38,16.41,14.77,7.37,28.02,9.0,0.22,3.08,83.3,43.43,28.63,9.05,49.02,35.73,13.7,11730.93,10235.18,9334.73,903.03,4.32,141.03,0.0,83.46,140.72,75.82,72.03,9.28,66.53,5.26,116.32,5.1850000000000005,0
ethacizin,Launched,anticonvulsant,8.0,6.8,6.69,-5.1,-5.340000000000001,-5.6,6.03,4.25,4.8,4.99,5.51,5.9,6.5,5.6,5.51,5.9,1.89,2.0,1.0,20.8,14.07,15.53,8.15,23.66,6.0,0.45,3.18,61.99,0.0,12.95,27.82,44.27,0.0,16.07,6660.64,4726.87,3981.25,749.56,3.7,30.59,76.24,3.1,123.5,164.33,61.85,6.23,26.28,88.82,63.08,5.705,0
fluvoxamine,Launched,selective serotonin reuptake inhibitor (SSRI),,,,,,,4.75,3.69,3.68,4.5,5.13,5.96,5.29,5.19,5.13,5.96,0.83,2.0,0.0,16.42,10.49,10.3,5.66,20.05,4.0,0.16,2.91,65.54,28.14,0.0,34.9,24.51,35.73,0.0,5730.36,4998.15,4824.11,173.96,2.8,2.76,60.29,54.78,70.57,44.88,22.22,40.66,0.0,63.05,58.46,5.545,0
prednisolone,Preclinical,glucocorticoid receptor agonist,6.77,5.3759999999999994,4.89,-5.7,-5.930000000000001,-6.1,6.77,3.81,5.86,4.21,4.37,5.75,6.52,6.56,4.37,5.75,1.35,5.0,2.0,24.18,15.42,16.47,10.55,26.07,8.0,0.3,2.51,121.51,14.95,20.65,0.0,51.96,0.0,40.7,7794.33,6062.11,5576.89,485.17,0.64,20.58,20.93,3.19,52.93,66.65,149.13,13.23,0.0,41.51,141.03,5.0600000000000005,0
norelgestromin,Launched,,6.7,5.450000000000001,6.54,-5.8,-6.069999999999999,-6.4,7.41,4.31,4.45,4.59,4.98,6.87,6.49,5.91,4.98,6.87,1.24,2.0,2.0,16.95,11.58,14.24,9.97,17.42,3.0,0.19,1.93,127.59,4.27,10.32,8.62,36.76,0.0,5.34,4972.18,4433.04,4083.23,349.86,2.33,2.76,43.87,3.19,17.64,33.33,18.93,44.48,0.0,34.24,51.27,5.925000000000001,0
bevenopran,Phase 1,opioid receptor antagonist,7.16,6.208,6.55,-5.4,-5.58,-6.1,6.55,3.54,4.03,4.87,4.84,4.99,5.45,5.79,4.84,4.99,1.17,5.0,1.0,19.77,13.65,13.53,6.75,22.68,8.0,0.25,3.64,86.97,36.81,0.0,17.24,12.25,0.0,16.07,9019.6,7332.63,6886.92,445.8,1.52,38.83,60.29,35.38,87.36,33.74,34.86,4.41,32.9,65.55,113.17,4.915,0
fomepizole,Launched,alcohol dehydrogenase inhibitor,5.31,3.712,2.57,-2.7,-2.88,-3.1,4.4,3.25,4.45,4.5,3.69,6.02,5.62,6.09,3.69,6.02,0.66,2.0,2.0,4.41,2.89,2.99,1.39,4.17,2.0,0.28,0.52,29.54,0.0,0.0,0.0,0.0,9.42,3.88,198.85,144.77,143.04,1.62,0.72,16.66,0.0,0.0,34.43,33.33,0.0,16.66,0.0,0.0,28.68,4.8549999999999995,0
ouabain,Launched,ATPase inhibitor,6.31,5.264,4.76,-5.3,-5.4399999999999995,-5.9,7.57,3.52,4.72,5.37,4.7,6.5,7.8,7.14,4.7,6.5,1.39,11.0,8.0,29.7,19.22,18.58,11.51,31.0,12.0,0.29,4.66,127.76,14.71,82.59,0.0,18.75,0.0,13.57,14492.01,11571.67,10615.78,954.37,-1.52,7.75,41.85,3.19,17.64,66.65,56.86,13.23,0.0,49.6,206.6,5.6,0
ritanserin,Phase 3,serotonin receptor antagonist,7.8,6.975999999999999,7.61,-6.6,-6.85,-7.1,5.7,4.49,4.9,4.36,6.48,6.3,6.97,6.06,6.48,6.3,1.17,2.0,0.0,23.66,16.49,18.09,10.73,25.64,4.0,0.22,2.99,90.15,18.04,0.0,8.62,70.99,0.0,13.57,13010.42,10598.06,10212.78,384.25,4.34,9.08,58.5,25.91,174.37,95.47,26.99,21.43,0.0,61.27,37.11,6.390000000000001,0
metaphit,Preclinical,phencyclidine receptor acylator,6.74,5.189,6.0,-5.0,-5.25,-5.5,5.23,4.12,4.33,5.2,5.27,6.19,5.78,6.56,5.27,6.19,1.16,2.0,0.0,14.55,10.35,12.26,7.63,15.88,2.0,0.57,1.99,87.86,0.0,0.0,8.62,55.49,0.0,0.0,3412.48,2407.3,1765.44,631.45,3.96,13.95,36.88,16.79,70.57,47.95,3.12,0.0,2.76,50.82,48.89,5.73,0
PIK-93,Preclinical,PI3K inhibitor,6.13,5.192000000000001,6.13,-5.8,-5.969999999999999,-6.2,6.17,3.91,4.03,5.58,4.9,5.43,5.72,6.27,4.9,5.43,0.95,5.0,3.0,17.91,11.24,9.58,4.79,20.31,7.0,0.22,2.13,106.44,4.52,43.03,4.18,41.84,2.53,13.57,6408.91,5690.88,5116.98,587.25,2.0,88.23,39.37,1.55,57.47,137.58,72.03,17.96,23.06,44.62,108.39,5.165,0
pyrazinoylguanidine,Phase 1,diuretic,5.44,4.6240000000000006,3.85,-4.5,-4.68,-5.2,5.13,3.23,4.83,5.49,5.31,5.07,5.57,5.37,5.31,5.07,0.43,3.0,0.0,8.97,5.7,3.85,1.24,10.08,6.0,0.16,2.46,33.49,0.0,43.1,28.63,0.0,0.0,5.68,1185.91,997.69,997.69,0.0,-2.72,40.73,0.0,0.0,51.64,0.0,23.86,18.01,32.9,7.16,106.49,5.1899999999999995,0
SDZ-205-557,Preclinical,serotonin receptor antagonist,5.94,5.1739999999999995,5.78,-4.7,-4.790000000000001,-5.0,4.9,3.64,4.04,5.09,5.27,5.25,6.12,6.05,5.27,5.25,1.56,2.0,1.0,15.12,9.53,10.13,4.55,18.05,5.0,0.16,2.7,57.29,45.38,0.0,8.62,29.58,0.0,13.57,5177.96,4455.43,4373.34,71.4,1.01,7.75,76.24,35.38,35.29,113.8,37.99,0.0,2.76,83.99,65.99,5.26,0
TCS-2314,Preclinical,integrin inhibitor,5.68,5.246,5.39,-5.7,-5.859999999999999,-6.1,6.05,3.62,5.51,5.1,4.0,4.85,5.98,6.13,4.0,4.85,1.25,4.0,2.0,27.07,18.3,18.79,10.55,30.95,10.0,0.13,3.16,135.93,3.15,25.9,17.44,61.27,0.0,27.13,19462.36,17400.74,16979.69,419.84,1.79,59.08,97.17,18.87,141.15,62.7,149.13,4.41,41.53,113.98,131.11,4.425,0
KME-4,Preclinical,prostaglandin inhibitor,5.19,4.909999999999999,5.04,-5.5,-5.6899999999999995,-5.9,4.71,4.31,4.33,4.84,4.6,5.57,6.41,4.75,4.6,5.57,1.75,2.0,1.0,16.71,10.0,14.0,7.94,18.34,3.0,0.36,1.48,96.22,0.0,10.32,0.0,112.49,0.0,13.57,4107.65,2906.77,2704.0,202.78,4.32,7.75,20.93,3.19,35.29,205.2,34.86,0.0,0.0,46.31,46.53,5.085,0
GSK2636771,Phase 2,PI3K inhibitor,6.08,5.338,5.75,-5.4,-5.470000000000001,-5.7,5.43,4.65,5.7,5.17,4.6,6.45,5.8,5.42,4.6,6.45,1.34,2.0,0.0,22.34,14.66,14.77,7.97,24.13,6.0,0.36,2.11,77.95,11.19,0.0,9.05,24.51,35.73,0.0,8279.36,6306.9,5561.44,745.12,3.5,20.15,78.73,0.0,92.5,132.73,77.55,10.88,7.05,80.2,70.42,5.525,0
iopromide,Launched,radiopaque medium,7.17,6.85,7.17,-5.2,-5.3500000000000005,-5.6,5.12,3.82,5.64,5.49,5.04,5.76,5.77,5.37,5.04,5.76,0.93,8.0,6.0,24.59,14.99,11.89,4.71,30.03,11.0,0.5,3.87,90.46,14.95,41.3,0.0,0.0,0.0,40.7,12830.43,8303.93,6919.19,1386.34,-0.41,36.91,99.66,68.28,0.0,173.1,82.59,22.99,20.77,115.43,168.66,5.4,0
quinapril,Launched,angiotensin converting enzyme inhibitor,7.31,6.838999999999999,7.25,-5.9,-6.06,-6.3,4.58,4.23,5.48,5.34,4.03,6.01,5.75,6.22,4.03,6.01,1.7,3.0,1.0,23.09,15.4,17.1,10.29,26.6,7.0,0.41,2.35,64.38,8.62,12.95,0.0,110.29,0.0,27.27,8307.96,5998.19,5210.82,788.02,1.5,17.59,20.93,37.74,158.79,85.09,125.27,18.01,0.0,35.39,98.77,5.02,0
PD-160170,Preclinical,neuropeptide receptor antagonist,7.72,6.931,7.72,-5.5,-5.76,-6.2,5.69,4.37,5.01,5.84,4.86,5.98,5.53,7.05,4.86,5.98,1.48,3.0,1.0,19.06,12.25,12.28,7.7,20.73,7.0,0.44,2.45,65.56,17.24,0.0,10.88,68.52,0.0,39.61,4223.06,3160.58,2598.43,562.59,3.68,72.04,50.94,3.1,145.43,72.17,55.26,54.04,10.23,0.0,118.87,5.42,0
lasmiditan,Launched,serotonin receptor agonist,6.6,5.9190000000000005,6.6,-6.6,-6.81,-7.2,6.24,3.66,4.47,5.83,5.49,5.95,6.83,6.56,5.49,5.95,1.18,3.0,1.0,19.55,12.85,12.56,6.93,21.7,5.0,0.23,3.15,63.24,47.16,0.0,8.62,12.25,0.0,27.13,7612.22,6048.78,5918.84,130.04,1.86,45.74,36.88,32.9,88.22,47.21,50.85,31.77,20.34,47.83,63.5,5.720000000000001,0
PD-173074,Preclinical,FGFR inhibitor  VEGFR inhibitor,6.86,6.202,6.59,-4.6,-5.090000000000001,-5.5,6.15,3.96,3.8,4.44,5.5,6.25,5.87,5.29,5.5,6.25,1.56,6.0,3.0,27.71,18.15,20.47,9.09,32.51,10.0,0.37,4.08,173.92,19.81,15.68,26.06,0.0,5.68,0.27,11707.66,8424.91,7645.33,780.03,3.75,91.21,73.76,70.77,98.45,205.21,26.99,18.01,50.91,78.59,114.73,5.875,0
tenoxicam,Launched,cyclooxygenase inhibitor,5.66,4.689,4.54,-4.9,-5.02,-5.2,5.66,3.5,4.81,4.82,5.02,5.98,5.74,6.57,5.02,5.98,1.6,5.0,1.0,15.91,10.43,8.71,4.15,16.84,7.0,0.21,1.98,60.43,14.34,12.95,0.0,12.25,0.0,27.13,4591.49,3815.04,3642.29,172.04,0.97,95.43,0.0,34.45,103.6,33.61,95.9,1.55,20.34,10.95,96.44,5.5,0
3-deazaneplanocin-A,Preclinical,histone lysine methyltransferase inhibitor,5.53,4.911,3.2,-5.3,-5.539999999999999,-6.0,5.88,3.42,5.16,4.13,4.92,6.22,6.43,5.47,4.92,6.22,0.57,5.0,4.0,13.57,9.13,7.58,3.8,13.96,7.0,0.17,2.33,16.75,49.2,30.97,0.0,12.25,0.0,6.65,2983.53,2540.86,2476.69,63.88,-0.7,35.47,20.93,3.19,73.57,2.33,0.0,0.0,6.62,20.93,117.42,5.57,0
TCS-2002,Preclinical,glycogen synthase kinase inhibitor,6.2,4.922,5.47,-6.3,-6.4799999999999995,-6.6,4.99,4.32,4.56,4.61,4.87,5.93,6.34,6.38,4.87,5.93,1.37,3.0,0.0,16.68,11.61,12.28,7.08,17.42,5.0,0.22,1.96,38.17,51.95,25.9,0.0,0.0,0.0,0.0,6473.73,5119.96,5034.61,73.01,4.2,57.41,0.0,52.26,165.39,33.33,43.1,1.55,21.99,0.0,88.34,5.4,0
VLX600,Phase 1,antitumor agent  ubiquitin C-terminal hydrolase inhibitor,7.77,6.985000000000001,7.16,-6.5,-6.67,-6.8,5.99,4.17,4.62,4.53,5.3,6.69,6.81,5.75,5.3,6.69,1.62,6.0,3.0,16.52,11.72,11.57,6.55,17.42,7.0,0.1,1.71,34.5,15.32,0.0,0.0,61.27,5.68,0.14,6634.51,5973.08,5969.18,3.26,3.8,50.11,0.0,38.84,131.65,68.55,0.0,34.8,10.48,0.0,91.21,5.995,0
D-alpha-tocopheryl-succinate,Launched,,7.04,6.243,6.57,-4.8,-4.949999999999999,-5.4,6.1,4.59,6.69,4.25,5.14,5.56,6.16,7.29,5.14,5.56,1.12,2.0,0.0,28.46,17.82,24.04,14.51,34.2,5.0,0.21,2.04,249.48,0.0,0.0,0.0,144.6,0.0,16.07,22228.36,18381.89,17757.22,624.67,7.57,9.21,0.0,18.87,0.0,277.09,90.41,13.23,0.0,9.21,75.66,5.35,0
rupatadine,Launched,histamine receptor antagonist  platelet activating factor receptor antagonist,7.91,6.340000000000001,7.91,-6.5,-6.730000000000001,-7.3,5.98,4.26,4.22,5.42,6.55,6.63,6.29,6.33,6.55,6.63,1.39,2.0,0.0,20.5,14.67,17.51,10.96,21.83,3.0,0.24,2.45,123.5,13.19,0.0,8.62,54.09,0.0,11.37,9074.88,7340.96,6925.12,372.79,4.3,33.57,40.06,40.92,157.5,90.91,3.12,3.19,0.0,36.88,30.22,6.59,0
2-chloroadenosine,Preclinical,adenosine receptor agonist,5.93,4.918999999999999,5.86,-4.5,-4.640000000000001,-4.9,5.37,3.59,5.77,4.14,5.28,6.61,6.36,5.92,5.28,6.61,0.37,7.0,4.0,14.44,9.52,6.03,2.07,14.92,9.0,0.28,2.75,0.0,75.35,44.47,0.0,0.0,5.68,6.65,3482.62,2687.46,2534.31,130.4,-1.23,52.26,20.93,0.0,20.64,41.48,11.0,0.0,6.19,20.93,139.54,5.945,0
caricotamide,Phase 2,NADPH quinone oxidoreductase inhibitor,6.33,5.072,5.01,-4.4,-4.659999999999999,-5.1,4.28,3.38,3.8,3.87,4.99,5.41,5.02,4.96,4.99,5.41,0.7,2.0,2.0,9.84,6.09,5.27,2.56,11.08,5.0,0.23,1.62,10.74,0.0,25.9,0.0,12.25,0.0,27.13,1412.29,1163.98,1099.4,64.61,-0.94,13.64,18.44,3.19,52.07,0.0,47.72,0.0,65.79,28.96,89.42,5.2,0
ZK-164015,Preclinical,estrogen receptor antagonist,8.63,6.69,6.62,-4.7,-4.9,-5.0,6.17,4.49,4.72,4.16,5.73,6.48,5.28,5.51,5.73,6.48,1.35,4.0,2.0,25.97,17.32,20.89,13.38,30.54,5.0,0.31,2.99,167.46,17.06,20.65,0.0,95.47,6.51,0.0,13082.13,9669.04,9202.93,465.67,8.02,50.07,34.47,0.0,134.16,95.58,48.17,0.0,10.66,34.47,79.53,6.105,0
freselestat,Preclinical,elastase inhibitor,6.06,5.418,5.46,-5.4,-5.6,-5.9,6.57,4.35,5.42,4.85,4.73,6.03,6.04,5.92,4.73,6.03,1.54,6.0,3.0,24.34,15.49,16.22,8.24,27.59,10.0,0.52,3.31,70.45,41.62,49.17,0.0,155.01,0.0,33.78,7174.95,5400.09,4092.27,1310.71,1.73,49.3,18.44,29.05,105.43,166.63,57.23,22.42,32.9,31.29,146.94,5.380000000000001,0
remoxipride,Withdrawn,dopamine receptor antagonist,6.71,6.073,6.42,-4.8,-5.0,-5.3,5.43,3.82,5.24,4.62,4.99,6.3,5.83,5.17,4.99,6.3,1.58,3.0,1.0,16.11,10.62,11.41,5.17,18.34,5.0,0.25,2.77,99.51,11.6,0.0,8.62,0.0,0.0,13.57,5556.16,4419.17,4040.35,203.51,1.26,5.26,55.32,73.82,35.29,89.77,26.99,21.07,0.0,60.58,52.0,5.645,0
spirobromin,Phase 1,,7.49,5.573,6.03,-4.8,-5.04,-5.2,6.17,4.1,5.51,4.19,4.84,5.66,5.32,4.94,4.84,5.66,0.97,2.0,0.0,18.62,12.51,12.47,4.82,20.73,6.0,0.1,4.02,69.02,52.77,25.9,0.0,87.25,0.0,27.13,14404.46,13340.13,12970.86,376.86,0.89,16.77,258.75,0.0,0.0,91.91,47.72,0.0,0.0,269.27,40.62,5.25,0
basic-fuchsin,Preclinical,,6.25,5.131,5.22,-6.0,-6.0,-6.0,4.69,3.87,4.72,5.46,5.18,6.07,5.94,5.46,5.18,6.07,1.27,0.0,2.0,16.4,11.04,13.4,9.31,17.81,3.0,0.5,2.42,40.66,34.48,6.7,17.24,49.02,0.0,6.65,4226.17,2339.51,2199.82,139.66,2.19,2.76,3.19,6.37,194.08,38.84,0.0,3.19,5.51,2.76,77.63,5.625,0
RG7800,Preclinical,RNA splicing modifier,6.8,6.012,5.42,-5.9,-5.970000000000001,-6.2,6.78,3.81,5.18,4.19,5.28,6.12,5.75,5.71,5.28,6.12,1.05,4.0,0.0,21.7,14.92,16.84,8.69,22.78,7.0,0.09,2.98,114.65,17.89,0.0,8.62,31.0,9.42,19.25,11951.12,10989.81,10861.23,128.58,2.26,31.91,36.88,75.6,72.9,99.98,26.99,4.41,2.76,64.44,67.29,5.7,0
TAK-901,Phase 1,Aurora kinase inhibitor,7.25,5.622,6.27,-4.9,-5.4,-5.8,6.6,4.44,4.56,5.18,5.0,6.29,5.61,6.87,5.0,6.29,1.12,5.0,3.0,25.61,17.17,19.41,11.02,27.56,7.0,0.33,3.93,142.63,19.72,0.0,8.62,24.51,0.0,13.57,13050.08,9479.43,8872.77,587.33,3.2,70.22,54.11,34.45,138.45,99.98,75.16,36.35,15.38,59.37,96.36,5.645,0
TAK-063,Phase 2,phosphodiesterase inhibitor,8.48,7.434,7.7,-6.2,-6.44,-6.9,6.67,4.56,4.31,4.39,4.69,6.74,5.66,5.74,4.69,6.74,1.4,5.0,0.0,22.08,15.65,15.52,8.6,23.73,8.0,0.26,2.33,87.49,17.48,8.46,0.0,36.76,28.26,13.57,8816.29,7511.34,6712.67,798.81,3.48,45.32,0.0,57.29,250.8,17.72,34.86,12.12,8.27,8.44,77.54,5.715,1
oleamide,Phase 2,benzodiazepine receptor agonist,7.11,6.383000000000001,7.09,-4.3,-4.46,-4.6,5.43,4.15,3.84,3.91,4.72,5.44,6.3,5.7,4.72,5.44,1.17,1.0,1.0,19.3,12.66,15.59,10.02,26.0,4.0,0.19,1.68,177.36,0.0,12.95,0.0,111.27,0.0,13.57,10892.79,9704.57,8971.73,732.42,4.45,6.72,18.44,0.0,70.57,33.33,90.41,18.01,0.0,25.16,69.23,5.08,0
talarozole,Phase 2,cytochrome P450 inhibitor,5.74,5.188000000000001,5.59,-5.4,-5.57,-5.8,6.35,4.38,4.98,4.71,4.95,6.48,6.42,5.9,4.95,6.48,1.39,3.0,1.0,18.64,13.28,14.53,8.18,20.28,5.0,0.15,1.86,53.62,59.62,0.0,0.0,116.17,9.42,0.14,8257.76,7470.92,7040.48,431.74,5.75,70.02,0.0,0.0,177.61,101.19,0.0,4.41,24.16,0.0,55.63,5.715,0
capromorelin,Preclinical,growth hormone secretagogue receptor agonist,5.96,5.351999999999999,5.8,-5.4,-5.67,-6.0,6.43,4.34,5.12,5.04,4.78,5.61,5.71,5.89,4.78,5.61,1.82,5.0,1.0,26.63,17.6,19.36,10.67,29.97,9.0,0.44,4.29,122.31,3.15,12.95,25.86,122.55,9.42,40.7,9030.88,7193.57,5729.68,1462.74,1.26,24.66,57.81,68.43,176.43,87.58,82.59,50.91,0.0,76.34,118.95,5.195,0
nornicotine,Preclinical,acetylcholine receptor agonist,5.6,4.776000000000001,4.47,-3.8,-4.04,-4.4,5.58,3.11,4.63,3.72,4.52,6.41,5.94,5.87,4.52,6.41,0.96,1.0,0.0,7.52,5.47,6.1,3.56,7.64,2.0,0.26,1.7,70.16,7.41,0.0,17.24,12.25,0.0,5.68,803.14,674.4,608.43,65.99,0.58,16.79,18.44,0.0,69.72,0.0,0.0,0.0,0.0,18.44,29.5,5.465,0
alpha-tochopheryl-acetate,Launched,antioxidant,8.67,6.547,5.59,-4.6,-4.7700000000000005,-4.9,6.14,4.69,6.3,4.29,5.23,5.72,5.95,7.35,5.23,5.72,1.2,2.0,0.0,25.47,15.93,23.05,13.78,30.23,3.0,0.43,1.94,240.55,0.0,0.0,0.0,144.6,0.0,16.07,9562.63,6525.44,5792.28,732.75,9.06,7.75,0.0,18.87,0.0,310.42,23.86,13.23,0.0,7.75,35.53,5.475,0
AS-252424,Preclinical,PI3K inhibitor,6.22,5.468,4.74,-6.0,-6.220000000000001,-6.7,6.19,4.23,4.91,4.6,5.2,5.23,6.39,6.24,5.2,5.23,1.41,3.0,2.0,14.98,10.02,8.86,5.27,15.88,5.0,0.18,1.96,14.46,25.94,10.32,0.0,0.0,0.0,27.27,4441.14,3629.35,3629.19,0.11,3.12,8.88,0.0,11.06,96.85,76.29,57.23,27.13,8.63,26.53,79.54,5.215,0
bufexamac,Withdrawn,cyclooxygenase inhibitor,6.2,5.337,4.63,-5.1,-5.290000000000001,-5.6,4.8,3.53,3.36,4.2,4.59,5.25,5.36,5.01,4.59,5.25,0.76,3.0,2.0,11.8,7.76,8.39,5.16,14.06,4.0,0.17,1.5,38.39,0.0,23.27,0.0,51.96,0.0,24.73,2834.95,2512.94,2378.44,134.22,1.91,5.26,20.93,18.87,70.57,38.57,23.86,46.23,0.0,26.19,58.56,4.92,0
tegobuvir,Phase 3,HCV inhibitor  protease inhibitor,6.56,4.0440000000000005,4.66,0.0,-3.3800000000000003,-5.9,6.34,4.6,3.67,6.28,5.84,6.13,6.44,5.58,5.84,6.13,1.0,4.0,1.0,26.37,17.49,15.97,9.73,28.53,5.0,0.17,3.65,14.46,43.97,0.0,18.09,36.76,71.45,0.0,15949.44,13917.84,13289.6,621.64,7.09,50.11,0.0,0.0,226.6,123.16,1.9,41.43,15.74,0.0,58.34,5.984999999999999,0
arbutin,Preclinical,tyrosinase inhibitor,6.04,4.657,4.18,-4.6,-4.73,-5.0,5.03,3.32,3.68,5.13,4.66,4.71,4.77,6.43,4.66,4.71,1.0,3.0,1.0,9.8,6.84,7.39,4.54,10.52,3.0,0.15,1.22,25.59,0.0,10.32,0.0,0.0,0.0,0.0,1749.61,1601.32,1496.88,104.47,2.3,0.0,20.93,0.0,70.57,10.49,11.0,0.0,0.0,20.93,38.69,4.6850000000000005,0
alimemazine,Launched,histamine receptor agonist  histamine receptor antagonist,6.76,6.015000000000001,5.83,-4.6,-4.800000000000001,-5.0,5.05,4.07,3.92,4.65,5.59,5.57,5.81,6.62,5.59,5.57,0.9,0.0,0.0,14.82,10.15,12.96,6.69,15.88,2.0,0.59,2.15,60.55,0.0,0.0,8.62,87.53,0.0,0.0,2800.23,1770.98,1367.78,401.31,3.07,0.0,36.88,68.9,141.15,71.06,3.12,10.64,5.51,36.88,7.68,5.58,0
elinogrel,Phase 2,purinergic receptor antagonist,7.42,7.007,6.83,-3.9,-4.57,-5.2,6.45,3.85,5.23,4.95,4.89,5.76,5.5,5.76,4.89,5.76,0.63,5.0,4.0,24.62,16.08,13.01,6.58,27.05,10.0,0.05,3.07,31.55,35.08,10.11,17.44,54.09,2.53,13.7,22640.8,21972.32,21508.92,461.48,4.28,117.12,0.0,32.9,141.15,144.14,119.76,28.65,65.06,14.92,136.71,5.324999999999999,0
aztreonam,Launched,bacterial cell wall synthesis inhibitor,7.11,6.839999999999999,6.95,-5.8,-5.93,-6.1,5.31,3.39,4.77,4.37,4.46,5.66,5.2,6.34,4.46,5.66,0.93,4.0,2.0,21.44,12.75,8.83,3.61,24.27,13.0,0.32,2.09,55.6,17.24,0.0,0.0,32.98,48.02,20.22,7570.08,5708.85,5292.78,412.39,-2.85,105.3,0.0,19.4,15.82,131.76,197.75,18.01,0.5,14.74,201.25,5.0600000000000005,0
